Name,SMILES
p000168,C1=C(C=C(C2=C1OC3=C(O2)C(=CC(=C3Cl)Cl)Cl)Cl)Cl
p000169,C1=C(C=C(C(=C1Cl)Cl)Cl)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl
p000170,C1=C(C2=C(C(=C1Cl)Cl)OC3=C2C(=C(C=C3Cl)Cl)Cl)Cl
p000171,C1=C(C=C(C2=C1OC3=C(O2)C(=C(C=C3Cl)Cl)Cl)Cl)Cl
p000172,C1=CC(=C(C2=C1C3=C(O2)C(=C(C=C3Cl)Cl)Cl)Cl)Cl
p000173,C1=CC(=C(C2=C1C3=C(O2)C(=CC(=C3Cl)Cl)Cl)Cl)Cl
p000174,C1=CC(=C(C=C1Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
p000175,C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl
p000176,C1=CC(=C(C(=C1Cl)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl
p000177,C1=C(C=C(C(=C1Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl
p000178,C1=CC(=CC(=C1)Cl)C2=CC(=C(C(=C2)Cl)Cl)Cl
p000179,C(CO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
p000180,C(CO)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
p000182,C1=C(C(=C(C(=C1Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl
p000183,C1=CC(=C(C(=C1)Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl
p000184,C1=C(C=C(C(=C1Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl
p000185,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br
p000186,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C
p000187,CCCCCCCC[N+](=O)[O-]
p000188,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2Br)Br)Br
p000189,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br
p000190,CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
p000191,C1=CC(=C(C=C1Br)Br)OC2=C(C(=C(C=C2)Br)Br)Br
p000192,C1=CC=C(C(=C1)C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
p000193,C1=CC=C(C=C1)C2=CC=CC=C2Cl
p000194,C1=CC(=CC(=C1)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl
p000195,C1=CC=C(C=C1)C=CC2=CC=CC=C2
p000196,C(=CCl)Cl
p000197,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
p000198,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
p000199,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl
p000200,C1=CC(=CC=C1OC2=C(C=C(C=C2)Br)Br)Br
p000201,C1=CC(=C(C=C1OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br)Br)Br
p000202,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
p000203,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl
p000204,C1=CC(=C(C=C1OC2=CC(=C(C=C2)Br)Br)Br)Br
p000205,C1=CC=C(C(=C1)OC2=C(C=C(C=C2)Br)Br)Br
p000206,C1=CC(=C(C(=C1OC2=CC(=C(C=C2Br)Br)Br)Br)Br)Br
p000207,C1=CC(=C(C=C1OC2=C(C=C(C=C2)Br)Br)Br)Br
p000208,C1=CC(=C(C(=C1)Br)OC2=CC(=C(C=C2)Br)Br)Br
p000209,C1=C(C=C(C(=C1Br)OC2=CC(=C(C=C2Br)Br)Br)Br)Br
p000210,C1=C(C(=CC(=C1Br)Br)Br)OC2=C(C(=C(C=C2Br)Br)Br)Br
